CD,ST,District,State,Incumbent,Party,Clinton,Trump,Obama12,Romney,Obama08,McCain,GEOID,bvap,cvap,bvap_pct,black_pop,total_pop,black_pct,is_in_cbc
CA-25,CA,25,California,"Knight, Steve",(R),50.3,43.6,47.8,49.7,49,48,50000US0625,37985,466130,0.081490142,54325,719970,0.075454533,FALSE
CA-26,CA,26,California,"Brownley, Julia",(D),57.9,36.0,54.0,43.7,56,41,50000US0626,9535,455215,0.020946146,12240,720335,0.016992094,FALSE
CA-27,CA,27,California,"Chu, Judy",(D),66.0,28.4,62.6,35.0,61,35,50000US0627,26030,481155,0.054098991,31885,717210,0.044456993,FALSE
CA-28,CA,28,California,"Schiff, Adam",(D),72.1,22.3,70.3,26.5,70,26,50000US0628,16045,493205,0.032532111,19000,716990,0.026499672,FALSE
CA-29,CA,29,California,"Cardenas, Tony",(D),77.7,16.8,77.0,20.5,74,23,50000US0629,20670,379540,0.054460663,25970,717765,0.036181759,FALSE
CA-30,CA,30,California,"Sherman, Brad",(D),69.1,25.7,65.3,32.1,66,31,50000US0630,26130,506390,0.051600545,34555,750370,0.046050615,FALSE
CA-31,CA,31,California,"Aguilar, Pete",(D),57.7,36.6,57.2,40.6,56,41,50000US0631,54605,456310,0.119666455,74420,733580,0.101447695,FALSE
CA-32,CA,32,California,"Napolitano, Grace",(D),66.6,27.7,65.2,32.5,62,35,50000US0632,15255,441890,0.034522166,19095,719110,0.026553657,FALSE
CA-33,CA,33,California,"Lieu, Ted",(D),67.8,26.5,60.6,36.8,64,33,50000US0633,15055,523965,0.028732835,20050,713625,0.028095989,FALSE
CA-34,CA,34,California,"Gomez, Jimmy",(D),83.6,10.7,83.0,14.1,77,19,50000US0634,25535,360785,0.070776224,30155,720385,0.041859561,FALSE
CA-35,CA,35,California,"Torres, Norma",(D),67.7,26.9,67.4,30.6,64,32,50000US0635,36065,410065,0.087949471,48190,730260,0.065990195,FALSE
CA-36,CA,36,California,"Ruiz, Raul",(D),52.2,43.4,50.7,47.5,50,47,50000US0636,21355,466145,0.045811925,29625,736045,0.040248898,FALSE
CA-37,CA,37,California,"Bass, Karen",(D),85.7,9.6,84.9,12.7,84,13,50000US0637,134150,455340,0.294615013,169025,722140,0.234061262,TRUE
CA-38,CA,38,California,"Sanchez, Linda",(D),67.0,27.4,64.9,33.0,61,35,50000US0638,20520,461625,0.044451665,27095,717230,0.037777282,FALSE
CA-39,CA,39,California,"Royce, Ed",(R),51.5,42.9,47.1,50.8,47,49,50000US0639,11765,475345,0.024750444,15095,722855,0.020882473,FALSE
CA-40,CA,40,California,"Roybal-Allard, Lucille",(D),82.2,12.8,81.5,16.5,77,19,50000US0640,24660,313880,0.078565057,33280,709435,0.04691057,FALSE
CA-41,CA,41,California,"Takano, Mark",(D),61.0,33.1,61.5,36.3,59,38,50000US0641,49340,439095,0.112367483,67055,739305,0.090700049,FALSE
CA-42,CA,42,California,"Calvert, Ken",(R),41.4,53.4,41.4,56.5,43,54,50000US0642,29130,490860,0.059344823,38965,761340,0.051179499,FALSE
CA-43,CA,43,California,"Waters, Maxine",(D),78.4,16.7,78.0,20.0,75,22,50000US0643,122695,427460,0.287032705,163225,719530,0.226849471,TRUE
CA-44,CA,44,California,"Barragan, Nanette",(D),83.0,12.3,84.7,13.6,81,16,50000US0644,85105,378020,0.225133591,112515,721110,0.156030287,FALSE
CA-45,CA,45,California,"Walters, Mimi",(R),49.8,44.4,43.0,54.8,46,51,50000US0645,9390,505170,0.018587802,13360,749685,0.017820818,FALSE
CA-46,CA,46,California,"Correa, Lou",(D),66.3,27.9,61.4,36.2,58,39,50000US0646,8050,358965,0.022425585,10725,726305,0.014766524,FALSE
CA-47,CA,47,California,"Lowenthal, Alan",(D),62.6,31.0,60.0,37.5,58,39,50000US0647,38685,464280,0.083322564,51300,716960,0.071552109,FALSE
CA-48,CA,48,California,"Rohrabacher, Dana",(R),47.9,46.2,43.0,54.7,46,51,50000US0648,6540,516420,0.012664111,8165,723985,0.011277858,FALSE
